,non_adapted_entities,precision,recall,f1-score,support,accuracy
0,UBM,0.4826604554865425,0.4861111111111111,0.4470001543172275,72.0,0.4861111111111111
1,others_except_user_id_2.0,0.5,0.5,0.4920634920634921,16.0,0.5
2,others_except_user_id_7.0,0.5227272727272727,0.5,0.48245614035087714,16.0,0.5
3,others_except_user_id_10.0,0.3,0.375,0.33333333333333326,16.0,0.375
4,others_except_user_id_16.0,0.3333333333333333,0.5,0.4,16.0,0.5
5,others_except_user_id_29.0,0.25,0.3125,0.2777777777777778,16.0,0.3125
6,others_except_user_id_33.0,0.3181818181818182,0.4375,0.3684210526315789,16.0,0.4375
7,others_except_user_id_34.0,0.5192307692307692,0.5,0.43333333333333335,16.0,0.5
8,others_except_user_id_37.0,0.25,0.5,0.3333333333333333,16.0,0.5
9,others_except_user_id_38.0,0.5192307692307692,0.5,0.43333333333333335,16.0,0.5
10,avg_w/o_UBM,0.39,0.458,0.395,16.0,0.458
